@  {'test_corpus_file': 'information_structure_corpus.txt', 'test_corpus_folder': 'study-8-information-structure', 'study_folder': 'study-8-information-structure/', 'author': 'PauliBrattico', 'year': 2021, 'date': 'February', 'study_id': 1, 'only_first_solution': False, 'logging': True, 'ignore_ungrammatical_sentences': False, 'datatake_resources': True, 'datatake_resource_sequence': False, 'datatake_timings': False, 'datatake_images': False, 'image_parameter_stop_after_each_image': False, 'image_parameter_show_words': True, 'image_parameter_nolabels': False, 'image_parameter_spellout': False, 'image_parameter_case': False, 'image_parameter_show_sentences': False, 'image_parameter_show_glosses': True, 'extra_ranking': True, 'filter': True, 'lexical_anticipation': True, 'closure': 'Bottom-up', 'working_memory': True, 'positive_spec_selection': 100, 'negative_spec_selection': -100, 'break_head_comp_relations': -100, 'negative_tail_test': -100, 'positive_head_comp_selection': 100, 'negative_head_comp_selection': -100, 'negative_semantics_match': -100, 'lf_legibility_condition': -100, 'negative_adverbial_test': -100, 'positive_adverbial_test': 100}
@  2021-03-17 10:34:16.055974
@  Test sentences from language data working directory\study-8-information-structure\information_structure_corpus.txt.
@  Logs into language data working directory\study-8-information-structure\information_structure_corpus_log.txt.
@  Lexicon from language data working directory\lexicon.txt.
@  Redundancy rules from language data working directory\redundancy_rules.txt.
@  Universal morphemes from language data working directory\ug_morphemes.txt.
@ 
@ 
Number,Sentence,Study_ID,Total Time,Garden Paths,Memory Reactivation,Steps,Merge,Move Head,Move Phrase,A-Move Phrase,A-bar Move Phrase,Move Adjunct,Agree,Phi,Transfer,Item streamed into syntax,Feature Processing,Extraposition,Inflection,Failed Transfer,LF recovery,LF test,Filter solution,Rank solution,Lexical retrieval,Morphological decomposition,Mean time per word,Asymmetric Merge,Sink,External Tail Test,Execution time (ms)	
292,Merjaa#[foc]#[hAn] ihailee Pekka ,1,,1540,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,14,1,3,10,4,2,21,4,513,36,5,28,31
293,Merjaa#[foc]#[pA] ihailee Pekka ,1,,1530,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,14,1,3,10,4,2,21,4,510,36,5,28,31
294,Merjaa#[foc]#[kO] ihailee Pekka ,1,,1530,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,14,1,3,10,4,2,21,4,510,36,5,28,31
295,Merjaa#[foc]#[pA]#[hAn] ihailee Pekka ,1,,1650,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,15,1,3,10,4,2,22,4,550,36,5,28,31
296,Merjaa#[foc]#[kO]#[hAn] ihailee Pekka ,1,,1650,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,15,1,3,10,4,2,22,4,550,36,5,28,31
297,keta#[hAn] ihailee Pekka ,1,,1170,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,9,1,3,10,4,2,16,4,390,36,5,28,31
298,keta#[pA] ihailee Pekka ,1,,1160,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,9,1,3,10,4,2,16,4,386,36,5,28,15
299,keta#[kO] ihailee Pekka ,1,,1160,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,9,1,3,10,4,2,16,4,386,36,5,28,31
300,Helsingissa#[foc]#[hAn] nukkui Pekka ,1,,2720,1,2,8,8,10,5,0,4,1,5,8,9,8,0,1,11,3,3,13,5,2,19,5,906,27,5,20,62
301,Helsingissa#[foc]#[kO] nukkui Pekka ,1,,2710,1,2,8,8,10,5,0,4,1,5,8,9,8,0,1,11,3,3,13,5,2,19,5,903,27,5,20,62
302,Helsingissa#[foc]#[pA] nukkui Pekka ,1,,2710,1,2,8,8,10,5,0,4,1,5,8,9,8,0,1,11,3,3,13,5,2,19,5,903,27,5,20,62
303,Helsingissa#[pA]#[hAn] nukkui Pekka ,1,,2700,1,2,8,8,10,5,0,4,1,5,8,9,8,0,1,11,3,3,13,5,2,19,5,900,27,5,20,62
304,Helsingissa#[kO]#[hAn] nukkui Pekka ,1,,2700,1,2,8,8,10,5,0,4,1,5,8,9,8,0,1,11,3,3,13,5,2,19,5,900,27,5,20,62
305,PEKKA#[kO]#[hAn] Merjaa ihailee ,1,,1665,0,0,9,6,8,2,0,1,1,1,4,8,7,0,2,16,4,3,13,4,4,23,4,555,25,6,18,31
306,PEKKA#[pA]#[hAn] Merjaa ihailee ,1,,1665,0,0,9,6,8,2,0,1,1,1,4,8,7,0,2,16,4,3,13,4,4,23,4,555,25,6,18,46
307,kuka#[kO]#[hAn] Merjaa ihailee ,1,,1545,0,0,9,6,8,2,0,1,1,1,4,8,7,0,2,15,4,3,13,4,4,22,4,515,25,6,18,31
308,Merjaa#[foc]#[kO]#[hAn] ihailee Pekka ,1,,1650,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,15,1,3,10,4,2,22,4,550,36,5,28,46
309,Merjaa#[foc]#[pA]#[hAn] ihailee Pekka ,1,,1650,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,15,1,3,10,4,2,22,4,550,36,5,28,46
310,keta#[foc]#[kO]#[hAn] ihailee Pekka ,1,,1410,0,0,8,6,9,4,0,3,1,3,6,6,7,0,0,11,1,3,10,4,2,18,4,470,36,5,28,46
311,Helsingissa#[foc]#[pA]#[hAn] nukkui Pekka ,1,,2830,1,2,8,8,10,5,0,4,1,5,8,9,8,0,1,12,3,3,13,5,2,20,5,943,27,5,20,62
312,Helsingissa#[foc]#[kO]#[hAn] nukkui Pekka ,1,,2830,1,2,8,8,10,5,0,4,1,5,8,9,8,0,1,12,3,3,13,5,2,20,5,943,27,5,20,46
313,se talo#[hAn] Merjaa ihailee ,1,,1385,0,0,17,6,6,2,0,1,1,1,4,11,7,0,2,12,5,3,17,3,5,19,4,346,47,12,36,31
314,se talo#[pA] Merjaa ihailee ,1,,1375,0,0,17,6,6,2,0,1,1,1,4,11,7,0,2,12,5,3,17,3,5,19,4,343,47,12,36,31
315,se talo#[kO] Merjaa ihailee ,1,,1375,0,0,17,6,6,2,0,1,1,1,4,11,7,0,2,12,5,3,17,3,5,19,4,343,47,12,36,46
316,se talo#[foc] Merjaa ihailee ,1,,1385,0,0,17,6,6,2,0,1,1,1,4,11,7,0,2,12,5,3,17,3,5,19,4,346,47,12,36,31
317,se talo#[kO]#[hAn] Merjaa ihailee ,1,,1495,0,0,17,6,6,2,0,1,1,1,4,11,7,0,2,13,5,3,17,3,5,20,4,373,47,12,36,46
318,se talo#[pA]#[hAn] Merjaa ihailee ,1,,1495,0,0,17,6,6,2,0,1,1,1,4,11,7,0,2,13,5,3,17,3,5,20,4,373,47,12,36,31
319,se talo#[foc]#[kO]#[hAn] Merjaa ihailee ,1,,1625,0,0,17,6,6,2,0,1,1,1,4,11,7,0,2,14,5,3,17,3,5,21,4,406,47,12,36,31
320,se talo#[foc]#[pA]#[hAn] Merjaa ihailee ,1,,1625,0,0,17,6,6,2,0,1,1,1,4,11,7,0,2,14,5,3,17,3,5,21,4,406,47,12,36,46
321,sita taloa#[hAn] ihailee Pekka ,1,,2565,1,2,13,8,10,6,0,4,2,5,8,12,8,0,0,12,2,3,18,4,4,20,5,641,58,8,60,46
322,sita taloa#[pA] ihailee Pekka ,1,,2555,1,2,13,8,10,6,0,4,2,5,8,12,8,0,0,12,2,3,18,4,4,20,5,638,58,8,60,62
323,sita taloa#[kO] ihailee Pekka ,1,,2555,1,2,13,8,10,6,0,4,2,5,8,12,8,0,0,12,2,3,18,4,4,20,5,638,58,8,60,62
324,sita taloa#[foc] ihailee Pekka ,1,,2565,1,2,13,8,10,6,0,4,2,5,8,12,8,0,0,12,2,3,18,4,4,20,5,641,58,8,60,46
325,sita taloa#[kO]#[hAn] ihailee Pekka ,1,,2675,1,2,13,8,10,6,0,4,2,5,8,12,8,0,0,13,2,3,18,4,4,21,5,668,58,8,60,62
326,sita taloa#[pA]#[hAn] ihailee Pekka ,1,,2675,1,2,13,8,10,6,0,4,2,5,8,12,8,0,0,13,2,3,18,4,4,21,5,668,58,8,60,62
327,sita taloa#[foc]#[kO]#[hAn] ihailee Pekka ,1,,2805,1,2,13,8,10,6,0,4,2,5,8,12,8,0,0,14,2,3,18,4,4,22,5,701,58,8,60,62
328,sita taloa#[foc]#[pA]#[hAn] ihailee Pekka ,1,,2805,1,2,13,8,10,6,0,4,2,5,8,12,8,0,0,14,2,3,18,4,4,22,5,701,58,8,60,62
329,se#[hAn] talo Merjaa ihailee ,1,,1365,0,0,17,6,6,2,0,1,1,1,4,11,7,0,2,12,5,3,17,3,5,19,4,341,47,12,36,31
330,se#[pA] talo Merjaa ihailee ,1,,1355,0,0,17,6,6,2,0,1,1,1,4,11,7,0,2,12,5,3,17,3,5,19,4,338,47,12,36,31
331,se#[kO] talo Merjaa ihailee ,1,,1355,0,0,17,6,6,2,0,1,1,1,4,11,7,0,2,12,5,3,17,3,5,19,4,338,47,12,36,46
332,se#[foc] talo Merjaa ihailee ,1,,1365,0,0,17,6,6,2,0,1,1,1,4,11,7,0,2,12,5,3,17,3,5,19,4,341,47,12,36,31
333,se#[kO]#[hAn] talo Merjaa ihailee ,1,,1475,0,0,17,6,6,2,0,1,1,1,4,11,7,0,2,13,5,3,17,3,5,20,4,368,47,12,36,31
334,se#[pA]#[hAn] talo Merjaa ihailee ,1,,1475,0,0,17,6,6,2,0,1,1,1,4,11,7,0,2,13,5,3,17,3,5,20,4,368,47,12,36,31
335,se#[foc]#[kO]#[hAn] talo Merjaa ihailee ,1,,1605,0,0,17,6,6,2,0,1,1,1,4,11,7,0,2,14,5,3,17,3,5,21,4,401,47,12,36,31
336,se#[foc]#[pA]#[hAn] talo Merjaa ihailee ,1,,1605,0,0,17,6,6,2,0,1,1,1,4,11,7,0,2,14,5,3,17,3,5,21,4,401,47,12,36,31
337,sita#[hAn] taloa ihailee Pekka ,1,,2555,1,2,13,8,10,6,0,4,2,5,8,12,8,0,0,12,2,3,18,4,4,20,5,638,58,8,61,62
338,sita#[pA] taloa ihailee Pekka ,1,,2545,1,2,13,8,10,6,0,4,2,5,8,12,8,0,0,12,2,3,18,4,4,20,5,636,58,8,61,46
339,sita#[kO] taloa ihailee Pekka ,1,,2545,1,2,13,8,10,6,0,4,2,5,8,12,8,0,0,12,2,3,18,4,4,20,5,636,58,8,61,62
340,sita#[foc] taloa ihailee Pekka ,1,,2555,1,2,13,8,10,6,0,4,2,5,8,12,8,0,0,12,2,3,18,4,4,20,5,638,58,8,61,62
341,sita#[kO]#[hAn] taloa ihailee Pekka ,1,,2665,1,2,13,8,10,6,0,4,2,5,8,12,8,0,0,13,2,3,18,4,4,21,5,666,58,8,61,46
342,sita#[pA]#[hAn] taloa ihailee Pekka ,1,,2665,1,2,13,8,10,6,0,4,2,5,8,12,8,0,0,13,2,3,18,4,4,21,5,666,58,8,61,62
343,sita#[foc]#[kO]#[hAn] taloa ihailee Pekka ,1,,2795,1,2,13,8,10,6,0,4,2,5,8,12,8,0,0,14,2,3,18,4,4,22,5,698,58,8,61,62
344,sita#[foc]#[pA]#[hAn] taloa ihailee Pekka ,1,,2795,1,2,13,8,10,6,0,4,2,5,8,12,8,0,0,14,2,3,18,4,4,22,5,698,58,8,61,62
345,Jukka kysyi keta Pekka ihailee ,1,,2170,0,0,14,11,26,8,0,1,7,7,11,21,12,0,2,15,15,4,32,12,5,27,5,434,76,9,71,93
346,Jukka kysyi kuka ihailee Merjaa ,1,,2385,0,0,12,11,27,10,0,4,6,10,14,17,12,0,0,20,14,4,26,13,4,32,5,477,64,7,50,93
347,Jukka kysyi kuka halusi ihailla Merjaa ,1,,2940,0,0,15,14,49,14,0,7,7,16,22,23,15,5,0,20,22,6,35,19,5,35,6,490,97,9,60,140
348,Jukka sanoi etta Pekka#[hAn] ihailee Merjaa ,1,,2705,0,0,19,11,27,11,0,5,6,14,17,26,12,0,0,20,21,3,40,15,6,32,6,450,110,10,96,109
349,Jukka sanoi etta Pekkahan ihailee Merjaa ,1,,2740,0,0,19,11,27,11,0,5,6,14,17,26,12,0,0,21,21,3,40,15,6,33,5,456,110,10,96,125
350,Jukka sanoi etta Merjaa#[hAn] Pekka ihailee ,1,,2780,0,0,23,11,25,8,0,1,7,10,13,36,12,0,2,20,22,3,52,14,7,32,6,463,164,14,226,125
351,Jukka sanoi etta Merjaahan Pekka ihailee ,1,,2755,0,0,23,11,25,8,0,1,7,10,13,36,12,0,2,20,22,3,52,14,7,32,5,459,164,14,226,125
352,Jukka sanoi etta Helsingissa#[hAn] Pekka nukkui ,1,,2790,0,0,21,11,29,8,0,1,7,10,13,34,12,0,2,17,22,3,48,14,6,29,7,465,171,12,232,140
353,Jukka sanoi etta Pekka#[pA] ihailee Merjaa ,1,,2695,0,0,19,11,27,11,0,5,6,14,17,26,12,0,0,20,21,3,40,15,6,32,6,449,110,10,96,125
354,Jukka sanoi etta Merjaa#[pA] Pekka ihailee ,1,,2770,0,0,23,11,25,8,0,1,7,10,13,36,12,0,2,20,22,3,52,14,7,32,6,461,164,14,226,140
355,Jukka sanoi etta Helsingissa#[pA] Pekka nukkui ,1,,2780,0,0,21,11,29,8,0,1,7,10,13,34,12,0,2,17,22,3,48,14,6,29,7,463,171,12,232,125
356,Jukka kysyi etta Pekka#[kO] ihailee Merjaa ,1,,2745,0,0,13,12,34,10,0,5,5,13,17,24,13,0,0,20,23,4,37,17,5,33,6,457,77,7,62,125
357,Jukka kysyi etta Merjaa#[kO] Pekka ihailee ,1,,2820,0,0,15,12,32,7,0,1,6,9,13,34,13,0,2,20,24,4,49,16,6,33,6,470,110,9,140,125
358,Jukka kysyi etta Helsingissa#[kO] Pekka nukkui ,1,,2830,0,0,14,12,36,7,0,1,6,9,13,32,13,0,2,17,24,4,45,16,5,30,7,471,113,8,140,140
359,Jukka sanoi etta Pekka#[foc] ihailee Merjaa ,1,,2705,0,0,19,11,27,11,0,5,6,14,17,26,12,0,0,20,21,3,40,15,6,32,6,450,110,10,96,109
360,Jukka sanoi etta PEKKA ihailee Merjaa ,1,,2710,0,0,19,11,27,11,0,5,6,14,17,26,12,0,0,21,21,3,40,15,6,33,5,451,110,10,96,125
361,Jukka sanoi etta Merjaa#[foc] Pekka ihailee ,1,,2780,0,0,23,11,25,8,0,1,7,10,13,36,12,0,2,20,22,3,52,14,7,32,6,463,164,14,226,109
362,Jukka sanoi etta Helsingissa#[foc] Pekka nukkui ,1,,2790,0,0,21,11,29,8,0,1,7,10,13,34,12,0,2,17,22,3,48,14,6,29,7,465,171,12,232,125
363,Jukka sanoi etta PEKKA#[hAn] ihailee Merjaa ,1,,2835,0,0,19,11,27,11,0,5,6,14,17,26,12,0,0,22,21,3,40,15,6,34,6,472,110,10,96,125
364,Jukka sanoi etta PEKKA#[pA] ihailee Merjaa ,1,,2825,0,0,19,11,27,11,0,5,6,14,17,26,12,0,0,22,21,3,40,15,6,34,6,470,110,10,96,109
365,Jukka kysyi etta PEKKA#[kO] ihailee Merjaa ,1,,2875,0,0,13,12,34,10,0,5,5,13,17,24,13,0,0,22,23,4,37,17,5,35,6,479,77,7,62,125
366,Jukka sanoi etta Pekka#[pA]#[hAn] ihailee Merjaa ,1,,2815,0,0,19,11,27,11,0,5,6,14,17,26,12,0,0,21,21,3,40,15,6,33,6,469,110,10,96,109
367,Jukka kysyi etta Pekka#[kO]#[hAn] ihailee Merjaa ,1,,2865,0,0,13,12,34,10,0,5,5,13,17,24,13,0,0,21,23,4,37,17,5,34,6,477,77,7,62,125
368,Jukka kysyi etta kuka#[hAn] ihailee Merjaa ,1,,2765,0,0,13,12,34,10,0,5,5,13,17,24,13,0,0,21,23,4,37,17,5,34,6,460,77,7,62,109
369,Jukka kysyi etta kuka#[pA] ihailee Merjaa ,1,,2755,0,0,13,12,34,10,0,5,5,13,17,24,13,0,0,21,23,4,37,17,5,34,6,459,77,7,62,125
370,Jukka kysyi etta kuka#[kO] ihailee Merjaa ,1,,2755,0,0,13,12,34,10,0,5,5,13,17,24,13,0,0,21,23,4,37,17,5,34,6,459,77,7,62,125
371,Jukka sanoi etta Merjaa#[foc]#[hAn] Pekka ihailee ,1,,2910,0,0,23,11,25,8,0,1,7,10,13,36,12,0,2,21,22,3,52,14,7,33,6,485,164,14,226,125
372,Jukka sanoi etta Merjaa#[foc]#[pA] Pekka ihailee ,1,,2900,0,0,23,11,25,8,0,1,7,10,13,36,12,0,2,21,22,3,52,14,7,33,6,483,164,14,226,125
373,Jukka kysyi etta Merjaa#[foc]#[kO] Pekka ihailee ,1,,2950,0,0,15,12,32,7,0,1,6,9,13,34,13,0,2,21,24,4,49,16,6,34,6,491,110,9,140,125
374,Jukka sanoi etta Merjaa#[foc]#[pA]#[hAn] Pekka ihailee ,1,,3020,0,0,23,11,25,8,0,1,7,10,13,36,12,0,2,22,22,3,52,14,7,34,6,503,164,14,226,109
375,Jukka kysyi etta Merjaa#[foc]#[kO]#[hAn] Pekka ihailee ,1,,3070,0,0,15,12,32,7,0,1,6,9,13,34,13,0,2,22,24,4,49,16,6,35,6,511,110,9,140,125
376,Jukka kysyi etta keta#[hAn] Pekka ihailee ,1,,2590,0,0,15,12,32,7,0,1,6,9,13,34,13,0,2,16,24,4,49,16,6,29,6,431,110,9,140,125
377,Jukka kysyi etta keta#[pA] Pekka ihailee ,1,,2580,0,0,15,12,32,7,0,1,6,9,13,34,13,0,2,16,24,4,49,16,6,29,6,430,110,9,140,109
378,Jukka kysyi etta keta#[kO] Pekka ihailee ,1,,2580,0,0,15,12,32,7,0,1,6,9,13,34,13,0,2,16,24,4,49,16,6,29,6,430,110,9,140,109
379,Jukka sanoi etta Helsingissa#[foc]#[hAn] Pekka nukkui ,1,,2920,0,0,21,11,29,8,0,1,7,10,13,34,12,0,2,18,22,3,48,14,6,30,7,486,171,12,232,140
380,Jukka sanoi etta Helsingissa#[foc]#[pA] Pekka nukkui ,1,,2910,0,0,21,11,29,8,0,1,7,10,13,34,12,0,2,18,22,3,48,14,6,30,7,485,171,12,232,156
381,Jukka kysyi etta Helsingissa#[foc]#[kO] Pekka nukkui ,1,,2960,0,0,14,12,36,7,0,1,6,9,13,32,13,0,2,18,24,4,45,16,5,31,7,493,113,8,140,140
382,Jukka sanoi etta Helsingissa#[pA]#[hAn] Pekka nukkui ,1,,2900,0,0,21,11,29,8,0,1,7,10,13,34,12,0,2,18,22,3,48,14,6,30,7,483,171,12,232,140
383,Jukka kysyi etta Helsingissa#[kO]#[hAn] Pekka nukkui ,1,,2950,0,0,14,12,36,7,0,1,6,9,13,32,13,0,2,18,24,4,45,16,5,31,7,491,113,8,140,140
384,Jukka kysyi etta PEKKA#[kO]#[hAn] ihailee Merjaa ,1,,2995,0,0,13,12,34,10,0,5,5,13,17,24,13,0,0,23,23,4,37,17,5,36,6,499,77,7,62,125
385,Jukka sanoi etta PEKKA#[pA]#[hAn] ihailee Merjaa ,1,,2945,0,0,19,11,27,11,0,5,6,14,17,26,12,0,0,23,21,3,40,15,6,35,6,490,110,10,96,125
386,Jukka kysyi etta kuka#[kO]#[hAn] ihailee Merjaa ,1,,2875,0,0,13,12,34,10,0,5,5,13,17,24,13,0,0,22,23,4,37,17,5,35,6,479,77,7,62,125
387,Jukka kysyi etta Merjaa#[foc]#[kO]#[hAn] Merja ihailee ,1,,3120,0,0,15,12,32,7,0,1,6,9,13,34,13,0,2,23,24,4,49,16,6,36,6,520,110,9,140,125
388,Jukka sanoi etta Merjaa#[foc]#[pA]#[hAn] Pekka ihailee ,1,,3020,0,0,23,11,25,8,0,1,7,10,13,36,12,0,2,22,22,3,52,14,7,34,6,503,164,14,226,109
389,Jukka kysyi etta keta#[foc]#[kO]#[hAn] Merja ihailee ,1,,2880,0,0,15,12,32,7,0,1,6,9,13,34,13,0,2,19,24,4,49,16,6,32,6,480,110,9,140,125
390,Jukka kysyi etta Helsingissa#[foc]#[kO]#[hAn] Pekka nukkui ,1,,3080,0,0,14,12,36,7,0,1,6,9,13,32,13,0,2,19,24,4,45,16,5,32,7,513,113,8,140,140
391,Jukka sanoi etta Helsingissa#[foc]#[pA]#[hAn] Pekka nukkui ,1,,3030,0,0,21,11,29,8,0,1,7,10,13,34,12,0,2,19,22,3,48,14,6,31,7,505,171,12,232,140
392,Jukka sanoi etta se talo#[hAn] ihailee Merjaa ,1,,2835,0,0,29,11,24,13,0,5,8,16,19,36,12,0,0,19,31,3,54,17,7,31,6,405,199,16,247,140
393,Jukka sanoi etta se talo#[pA] ihailee Merjaa ,1,,2825,0,0,29,11,24,13,0,5,8,16,19,36,12,0,0,19,31,3,54,17,7,31,6,403,199,16,247,125
394,Jukka kysyi etta se talo#[kO] ihailee Merjaa ,1,,2860,0,0,18,12,33,11,0,5,6,15,19,33,13,0,0,19,32,4,50,19,6,32,6,408,140,10,156,140
395,Jukka sanoi etta se talo#[foc] ihailee Merjaa ,1,,2835,0,0,29,11,24,13,0,5,8,16,19,36,12,0,0,19,31,3,54,17,7,31,6,405,199,16,247,140
396,Jukka kysyi etta se talo#[kO]#[hAn] ihailee Merjaa ,1,,2980,0,0,18,12,33,11,0,5,6,15,19,33,13,0,0,20,32,4,50,19,6,33,6,425,140,10,156,140
397,Jukka sanoi etta se talo#[pA]#[hAn] ihailee Merjaa ,1,,2945,0,0,29,11,24,13,0,5,8,16,19,36,12,0,0,20,31,3,54,17,7,32,6,420,199,16,247,125
398,Jukka kysyi etta se talo#[foc]#[kO]#[hAn] ihailee Merjaa ,1,,3110,0,0,18,12,33,11,0,5,6,15,19,33,13,0,0,21,32,4,50,19,6,34,6,444,140,10,156,140
399,Jukka sanoi etta se talo#[foc]#[pA]#[hAn] ihailee Merjaa ,1,,3075,0,0,29,11,24,13,0,5,8,16,19,36,12,0,0,21,31,3,54,17,7,33,6,439,199,16,247,140
400,Jukka sanoi etta sita taloa#[hAn] Merja ihailee ,1,,2995,0,0,39,11,22,9,0,1,8,12,15,48,12,0,2,20,31,3,68,16,9,32,7,427,301,26,542,171
401,Jukka sanoi etta sita taloa#[pA] Merja ihailee ,1,,2985,0,0,39,11,22,9,0,1,8,12,15,48,12,0,2,20,31,3,68,16,9,32,7,426,301,26,542,140
402,Jukka kysyi etta sita taloa#[kO] Merja ihailee ,1,,3195,0,0,23,12,31,12,0,1,11,11,15,54,13,0,4,20,37,4,73,18,8,33,7,456,212,15,356,156
403,Jukka sanoi etta sita taloa#[foc] Merja ihailee ,1,,2995,0,0,39,11,22,9,0,1,8,12,15,48,12,0,2,20,31,3,68,16,9,32,7,427,301,26,542,140
404,Jukka kysyi etta sita taloa#[kO]#[hAn] Merja ihailee ,1,,3315,0,0,23,12,31,12,0,1,11,11,15,54,13,0,4,21,37,4,73,18,8,34,7,473,212,15,356,156
405,Jukka sanoi etta sita taloa#[pA]#[hAn] Merja ihailee ,1,,3105,0,0,39,11,22,9,0,1,8,12,15,48,12,0,2,21,31,3,68,16,9,33,7,443,301,26,542,140
406,Jukka kysyi etta sita taloa#[foc]#[kO]#[hAn] Merja ihailee ,1,,3445,0,0,23,12,31,12,0,1,11,11,15,54,13,0,4,22,37,4,73,18,8,35,7,492,212,15,356,156
407,Jukka sanoi etta sita taloa#[foc]#[pA]#[hAn] Merja ihailee ,1,,3235,0,0,39,11,22,9,0,1,8,12,15,48,12,0,2,22,31,3,68,16,9,34,7,462,301,26,542,140
408,Jukka sanoi etta se#[hAn] talo ihailee Merjaa ,1,,2815,0,0,29,11,24,13,0,5,8,16,19,36,12,0,0,19,31,3,54,17,7,31,6,402,199,16,247,140
409,Jukka sanoi etta se#[pA] talo ihailee Merjaa ,1,,2805,0,0,29,11,24,13,0,5,8,16,19,36,12,0,0,19,31,3,54,17,7,31,6,400,199,16,247,140
410,Jukka kysyi etta se#[kO] talo ihailee Merjaa ,1,,2840,0,0,18,12,33,11,0,5,6,15,19,33,13,0,0,19,32,4,50,19,6,32,6,405,140,10,156,125
411,Jukka sanoi etta se#[foc] talo ihailee Merjaa ,1,,2815,0,0,29,11,24,13,0,5,8,16,19,36,12,0,0,19,31,3,54,17,7,31,6,402,199,16,247,125
412,Jukka kysyi etta se#[kO]#[hAn] talo ihailee Merjaa ,1,,2960,0,0,18,12,33,11,0,5,6,15,19,33,13,0,0,20,32,4,50,19,6,33,6,422,140,10,156,140
413,Jukka sanoi etta se#[pA]#[hAn] talo ihailee Merjaa ,1,,2925,0,0,29,11,24,13,0,5,8,16,19,36,12,0,0,20,31,3,54,17,7,32,6,417,199,16,247,125
414,Jukka kysyi etta se#[foc]#[kO]#[hAn] talo ihailee Merjaa ,1,,3090,0,0,18,12,33,11,0,5,6,15,19,33,13,0,0,21,32,4,50,19,6,34,6,441,140,10,156,140
415,Jukka sanoi etta se#[foc]#[pA]#[hAn] talo ihailee Merjaa ,1,,3055,0,0,29,11,24,13,0,5,8,16,19,36,12,0,0,21,31,3,54,17,7,33,6,436,199,16,247,125
416,Jukka sanoi etta sita#[hAn] taloa Merja ihailee ,1,,2985,0,0,39,11,22,9,0,1,8,12,15,48,12,0,2,20,31,3,68,16,9,32,7,426,309,26,558,171
417,Jukka sanoi etta sita#[pA] taloa Merja ihailee ,1,,2975,0,0,39,11,22,9,0,1,8,12,15,48,12,0,2,20,31,3,68,16,9,32,7,425,309,26,558,140
418,Jukka kysyi etta sita#[kO] taloa Merja ihailee ,1,,3185,0,0,23,12,31,12,0,1,11,11,15,54,13,0,4,20,37,4,73,18,8,33,7,455,216,15,364,140
419,Jukka sanoi etta sita#[foc] taloa Merja ihailee ,1,,2985,0,0,39,11,22,9,0,1,8,12,15,48,12,0,2,20,31,3,68,16,9,32,7,426,309,26,558,125
420,Jukka kysyi etta sita#[kO]#[hAn] taloa Merja ihailee ,1,,3305,0,0,23,12,31,12,0,1,11,11,15,54,13,0,4,21,37,4,73,18,8,34,7,472,216,15,364,156
421,Jukka sanoi etta sita#[pA]#[hAn] taloa Merja ihailee ,1,,3095,0,0,39,11,22,9,0,1,8,12,15,48,12,0,2,21,31,3,68,16,9,33,7,442,309,26,558,140
422,Jukka kysyi etta sita#[foc]#[kO]#[hAn] taloa Merja ihailee ,1,,3435,0,0,23,12,31,12,0,1,11,11,15,54,13,0,4,22,37,4,73,18,8,35,7,490,216,15,364,156
423,Jukka sanoi etta sita#[foc]#[pA]#[hAn] taloa Merja ihailee ,1,,3225,0,0,39,11,22,9,0,1,8,12,15,48,12,0,2,22,31,3,68,16,9,34,7,460,309,26,558,140
424,Jukka kysyi etta keta ihailee Pekka ,1,,2590,0,0,17,12,46,16,0,9,7,19,24,30,13,0,0,15,15,5,47,13,6,28,5,431,188,11,178,140
425,Jukka kysyi etta kuka ihailee Merjaa ,1,,2650,0,0,13,12,34,10,0,5,5,13,17,24,13,0,0,20,23,4,37,17,5,33,5,441,77,7,62,109
426,Jukka kysyi etta kuka Merjaa halusi ihailla ,1,,3585,0,0,29,15,60,25,0,9,8,22,29,46,16,1,2,20,43,7,70,19,14,36,6,512,325,21,327,218
427,Jukka sanoi etta Pekka#[hAn] Merjaa ihailee ,1,,2775,0,0,23,11,25,8,0,1,7,10,14,36,12,0,2,20,22,4,52,14,7,32,6,462,162,14,226,109
428,Jukka sanoi etta Pekkahan Merjaa ihailee ,1,,2810,0,0,23,11,25,8,0,1,7,10,14,36,12,0,2,21,22,4,52,14,7,33,5,468,162,14,226,125
429,Jukka sanoi etta Merjaa#[hAn] ihailee Pekka ,1,,2885,0,0,25,11,37,17,0,9,8,20,24,32,12,0,0,20,13,4,50,11,7,32,6,480,257,16,258,156
430,Jukka sanoi etta Merjaahan ihailee Pekka ,1,,2860,0,0,25,11,37,17,0,9,8,20,24,32,12,0,0,20,13,4,50,11,7,32,5,476,257,16,258,140
431,Jukka sanoi etta Helsingissa#[hAn] nukkui Pekka ,1,,2855,0,0,25,11,33,17,0,9,8,21,25,30,12,0,0,17,12,4,46,11,6,29,7,475,214,16,219,156
